you sound like drumpf  raven capps crowl |  SAD
monica crist  here is a little summary  history lesson   when united states navy warship “gloucester” pulled into guánica bay in the early morning hours of july 25  1898  puerto rico became our responsibility  when the disembarking sailors lowered the spanish flag from the port flagpole and hoisted the american flag  puerto rico became our responsibility  when the puerto rican house of delegates voted unanimously in 1914 to be free of us rule and the us congress refused to recognize their independence  puerto rico was our responsibility  when the us congress passed the jonesshafroth act on march 2  1917 declaring all puerto ricans born after april 10  1899 to be fullfledged us citizens  puerto rico was our responsibility  did you catch that  in 1917  the year the law was passed  people born in 1899 would be turning 18 – legal draft age  the law was passed on march 2  1917 the us entered wwi on april 6  1917 when we gave this grant of citizenship in 1917 over the unanimous objection of all representatives in the puerto rican house of delegates who believed the grant of citizenship was primarily for the purpose of drafting puerto rican men into military service  puerto rico was our responsibility  when section 1402 of title 8 of the us code was amended in 1952 to declare that all puerto ricans born after january 13  1941 are natural born american citizens  puerto rico was our responsibility  when the republican congress passed – and bill clinton signed – legislation in 1996 beginning a tenyear phaseout of fdr new deal tax incentives for us corporations to create taxfree earnings through subsidiaries operating in puerto rico  the failure of the economy of puerto rico became our responsibility  when the consequent tenyear mass exodus of us companies and jobs was complete in 2005 and the economy of puerto rico began contracting  the financial plight of puerto rico became our responsibility  when the us congress made all interest on municipal bonds issued by puerto rico free of federal  state  and local taxes  causing wall street fund managers to pour loanedmoney into the puerto rican government like water pouring over the broken levees of lake pontchartrain  the debt of puerto rico became our responsibility  this is history  |  SAD
not a judgement  just an observation of how history repeats itself in the face of unrepentant sin   nothingnewunderthesun |  SAD
inhumane being  😡 |  ANG
bernie sanders supports the genocide of the handicapped people  |  ANG
gee  it must have been global warming since this year was also one of their wettest in years   lol  |  SAD
why would you take your pregnant wife to a war zone  why  |  SAD
shitgibbon  |  ANG
get out trump  we do nt want you  |  ANG
unlike other disasters  the opioid crisis wo nt burn itself out  new addicts are created every day  what if there is no solution  my friend ever the pragmatist says we should save out money and let these people die  i disagree but i have no answers to the problem  |  SAD
no that president left the white house 2016 |  ANG
must be donalds friend |  ANG
this guy is at fault  who the hell does this  he got his baby killed and his wife raped  |  SAD
  sticker   |  SAD
they die  |  ANG
it s fairly common to have group interviews in the social services field  i agree with everything else  |  SAD
revoke their licenses  |  ANG
go away ugly person |  ANG
why  is the questionanswer  control  greed |  ANG
propaganda |  ANG
savages  murdering a baby girl  |  SAD
love president trump  great guy  making america great again |  ANG
the heavy rains this year caused a lot of growth  that tinder is what allowed this fire to spread as fast as it did  norcal does nt get any rain from about march to november  so the new growth dries out  |  SAD
where was this coverage while montana burned for 2 straight months   |  SAD
my god what is going to happen to the world s people  the future seems so bleak  |  SAD
let s see your tax returns  donald  |  ANG
eve howard  nancy roti  i ll bet your some of the trump basher here on pbs  |  SAD
huhgot deleted  i ll say it again pbs  welected obama as a  token  to improve racial civility  turned worse  we put up 8 years  suckitupbuttercup  we have a leader now       |  SAD
carving up the world again  a wall and not a fence robert plant   vjggolabrpqc  the russians  the americans  the british and their friends they re carving up the world again  it s getting kind of tense a whole lot of posture and very little sense it s no surprise they hide behind a wall and not a fence … call up the cavalry and double up the guard plan for catastrophe inside the house of cards   |  ANG
