he s off his rocker    xrsrebelmousefb  utmsourcefacebook  utmmediumfbsocialshare  utmcampaignorganic |  ANG
wow  i now have to see this film  i m here in central florida and see kids like this  families like this  everyday  your interview with the film maker has convinced that he took the time and heart to do their stories in what seems to be a really warm and wonderful way  thankfully  it is playing locally  |  LOV
maybe you should swim back since your family illegally immigrated to america |  LOV
saw this last night and watched it again this morning because of the great case of the  feelies  it gave me  |  LOV
kenneth mccahan you truly are a jerk  |  SAD
jaime salz |  LOV
when are we going to start questioning the us role in afghanistan  and how they got better seeds to grow poppy   |  SAD
they should do what they re doing and leave  it obvious muslims are not welcome in burma  |  SAD
bert c gonzalez is fake  |  HAH
pussy grabber |  ANG
s t u p i d |  SAD
yes and china will make a affordable electric car and we will be shoveling coal |  ANG
repeal scott pruitt         |  ANG
nate woodard |  HAH
liar  |  ANG
well  you know  i get bored |  ANG
article 25 this enemy of the united states  now  |  ANG
jerk a trump continuing to be a jerk  |  ANG
welcome to state run news     |  ANG
  sticker   |  ANG
the fairness doctrine was repealed and the scotus ruled that entertainment can masquerade as news  |  ANG
the counties are huge  don’t confuse napa with napa county |  SAD
corruption at its worst |  ANG
a big part of trumps platform was that he could make deals  he actually hasnt made a single significant deal yet  not even with his own party on healthcare when they all agree they dont want obamacare  i do nt think he will make any worthwhile deals with iran  |  ANG
until newshour reports honestly how obama drugged chinese american citizen with these  ketamine and cocaine and pushed addiction to obama ordered sex addiction to be paired pavloavianly with chinese american image to commit crimes against humanity  these reports are newshour s assistance with obaman racist sex slavery on chinese american  |  SAD
i know  i do think about people in other parts of the world and sometimes feel bad for being angry about the state of our country  we have gotten spoiled here  we’ve been used to  mostly  people in government who actually cared about our citizens and now  this  it’s hard to live in 1930’s germany here in the us in 2017  |  SAD
more propaganda  |  SAD
 lock them up  |  ANG
not even worth responding  who s the troll here  |  SAD
we all know trump lied  |  ANG
cool dogs  wearing clothes weird |  LOV
i invented fake   |  ANG
you all knew that was coming  from the beginning |  ANG
is this an old interview  steve bannon has no job in the white house  or did i miss something  trumps always speaking out of both sides of his mouth  nothing new there  |  HAH
john  thought of you when i saw this  |  LOV
could this be ultra sonic rodent repellers that are going bad     |  WOW
bryan |  ANG
|  ANG
still on our west coast  |  SAD
and how many christians have been killed by other christians throughout history  plenty of blood on our hands  too  |  SAD
stupid is as stupid does |  ANG
stop telling other people how to live their lives  worry more about your own life and let god take care of the rest  |  ANG
she knows we need her  |  LOV
trump is a heartless imbarrisment tothis country |  ANG
poster boy of stupidity |  SAD
so we lose the world for greed      😡😡perfect |  ANG
trumpcare is diseased  |  ANG
impeach trump |  ANG
may god comfort and heal them  i am horrified by anyone who would wish differently  |  SAD
she is the breath of reason  |  LOV
abortion is probably being done as a medical necessity  i doubt it is done for birth control |  ANG
thanks slot  |  ANG
it’s okay  he will be forgiven by the left within 5 years because he is a donor  |  ANG
bert c gonzalez you hired him to destroy the usa  |  HAH
katie feltonmoore 😊 |  LOV
he did  |  LOV
😓 |  SAD
the real fake news  |  ANG
i wonder if the wife is nt still a prisoner  just now a prisoner of her husband |  SAD
yes  come on pbs  legal pot will be the only way out of this opioid problem  |  SAD
glad to hear there will be a centrist gopsenator around  we need more  |  LOV
finally some common sense on this pageconsistent with trump’s statement to use all resources  liberals want environmental reviews with no end  also known as bureaucratic bs red tape  |  ANG
dumb move by trump  |  ANG
now  they need to expose the hollywood pedophiles  |  ANG
chastity belt and hangers  |  ANG
natasha |  LOV
insurance  it s truly a strange concept  we buy life insurance  car insurance  home owners insurance and health insurance  the principle is the same for all  you pay into a system so that you are assured that if you get into a car accident  or your child breaks a neighbor s window  or someone slips on your front steps  or you need an appendectomy  the bills can be paid  you may not need many of this things  but knowing that you can cover those expenses of you do takes away some of the worry  we do nt say  well  i do nt have front steps so i do nt need that part  or  i do nt drive so our premium should be half of what you pay cause both you and your spouse drive  or  i am a single woman so my insurance should nt cover prostate exams  when did we lose it in all this  |  ANG
too afraid he ll get some california on him  |  SAD
he did nt win in california  he does nt care if it falls in the ocean  |  SAD
and she is pregnant now  guess confinement was nt too bad |  SAD
horrifying ineptitude  |  ANG
wonder why harvey  corkey went their separate ways  |  ANG
jerk |  ANG
🙏🏻🙏🏻🙏🏻☔️☔️☔️💦💦💦💦💧💧💧💧💧 |  SAD
call kevorkian 😳 |  ANG
good  the country needs her  |  LOV
finally |  SAD
the devil in th grove is an excellent historical account in which his impact is detailed  he fought so much injustice and  like too many  was met with hatred and lifethreatening violence  he had a huge and positive impact in the civil rights movement    ieutf8  qid1507985735  sr81  keywordsdevilinthegrove |  LOV
jasmin   😟 |  SAD
so horrible and sad  is this what 45 meant with his threat of  fire  fury   has anyone actually determined yet the cause of these multiple fires  |  SAD
disgusting  these predators defending each other  argh |  ANG
okay |  LOV
if there are 4000 scientists that don’t believe in climate change  then there are about 129333 who do  |  ANG
